tnum,tc,tc_lower,tc_upper,planet,source,tc_median,tcerr
0,159.1097,0.0011,0.0011,0,kepler,159.1097,0.0011
1,204.2631,0.0012,0.0011,0,kepler,204.2631,0.0012
2,249.4155,0.0013,0.0012,0,kepler,249.4155,0.0012
3,294.5732,0.0013,0.0013,0,kepler,294.5732,0.0013
4,339.7272,0.0013,0.0013,0,kepler,339.7272,0.0013
5,384.8783,0.0012,0.0012,0,kepler,384.8783,0.0012
6,430.0344,0.0012,0.0012,0,kepler,430.0344,0.0012
8,520.3435,0.0011,0.0012,0,kepler,520.3435,0.0011
9,565.5015,0.0013,0.0012,0,kepler,565.5016,0.0013
10,610.6583,0.0011,0.0012,0,kepler,610.6583,0.0011
11,655.8134,0.0012,0.0012,0,kepler,655.8134,0.0012
12,700.975,0.0013,0.0013,0,kepler,700.975,0.0013
13,746.1274,0.0012,0.0012,0,kepler,746.1274,0.0012
14,791.2877,0.0012,0.0012,0,kepler,791.2877,0.0012
15,836.4391,0.0012,0.0012,0,kepler,836.4391,0.0012
16,881.5991,0.0012,0.0011,0,kepler,881.5991,0.0011
17,926.7537,0.0012,0.0012,0,kepler,926.7537,0.0012
18,971.9066,0.0013,0.0013,0,kepler,971.9066,0.0013
19,1017.0599,0.0013,0.0013,0,kepler,1017.0599,0.0013
20,1062.2118,0.0011,0.0011,0,kepler,1062.2118,0.0011
21,1107.3669,0.0011,0.0011,0,kepler,1107.3669,0.0011
22,1152.52077,0.00093,0.00088,0,kepler,1152.5208,0.0009
23,1197.6764,0.0011,0.0011,0,kepler,1197.6764,0.0011
24,1242.83014,0.00092,0.00099,0,kepler,1242.83011,0.00096
25,1287.98475,0.00091,0.00098,0,kepler,1287.98472,0.00094
26,1333.142,0.001,0.001,0,kepler,1333.142,0.001
27,1378.298,0.001,0.001,0,kepler,1378.298,0.001
28,1423.45415,0.00089,0.00092,0,kepler,1423.45414,0.0009
29,1468.61328,0.00093,0.00098,0,kepler,1468.61325,0.00096
30,1513.767,0.001,0.001,0,kepler,1513.767,0.001
51,2462.0318,0.002,0.0015,0,hst,2462.0321,0.0018
57,2732.9526,0.003,0.0029,0,hst,2732.9527,0.0029
74,3500.5934,0.0015,0.0015,0,m2-lco,3500.5934,0.0015
81,3816.6912,0.0019,0.0019,0,m2,3816.6912,0.0019
108,5035.8767,0.0011,0.001,0,m3,5035.8767,0.0011
113,5261.6574,0.0011,0.0011,0,apo,5261.6574,0.0011
0,210.0118,0.0057,0.0057,1,kepler,210.0118,0.0057
1,295.316,0.0043,0.0045,1,kepler,295.3159,0.0044
2,380.6395,0.0037,0.0039,1,kepler,380.6394,0.0038
3,465.9533,0.0036,0.0034,1,kepler,465.9534,0.0035
4,551.2622,0.0037,0.0038,1,kepler,551.2621,0.0038
5,636.57,0.0038,0.0038,1,kepler,636.5701,0.0038
8,892.519,0.0042,0.004,1,kepler,892.519,0.0041
9,977.836,0.0056,0.0056,1,kepler,977.8359,0.0056
11,1148.4631,0.005,0.0043,1,kepler,1148.4634,0.0046
12,1233.8053,0.0039,0.0042,1,kepler,1233.8052,0.0041
13,1319.1103,0.0046,0.0046,1,kepler,1319.1103,0.0046
15,1489.7539,0.0043,0.0044,1,kepler,1489.7539,0.0044
16,1575.071,0.0046,0.0046,1,kepler,1575.071,0.0046
42,3793.284,0.0078,0.0086,1,m2,3793.2836,0.0082
52,4646.4852,0.004,0.0034,1,m2,4646.4855,0.0037
61,5414.3331,0.0084,0.0043,1,hst,5414.3352,0.0063
63,5584.9711,0.0047,0.0045,1,palomar,5584.9712,0.0046
0,212.02406,0.00076,0.00076,2,kepler,212.02406,0.00076
1,342.20782,0.00095,0.00095,2,kepler,342.20782,0.00095
2,472.39078,0.00079,0.00073,2,kepler,472.39081,0.00076
3,602.57376,0.00079,0.00073,2,kepler,602.57379,0.00076
5,862.93213,0.00079,0.00079,2,kepler,862.93213,0.00079
6,993.10434,0.00073,0.00079,2,kepler,993.10431,0.00076
7,1123.28448,0.00078,0.00077,2,kepler,1123.28449,0.00077
8,1253.45026,0.0007,0.0007,2,kepler,1253.45026,0.0007
9,1383.62997,0.00076,0.00077,2,kepler,1383.62997,0.00077
10,1513.79021,0.00087,0.00087,2,kepler,1513.79021,0.00087
18,2555.2002,0.0015,0.001,2,hst,2555.2005,0.0012
21,2945.7535,0.0011,0.0014,2,hst,2945.7533,0.0012
25,3466.4833,0.0044,0.0042,2,m2,3466.4834,0.0043
28,3856.986,0.021,0.012,2,tess,3856.991,0.017
31,4247.4809,0.0021,0.0023,2,TN+Acton+AUKR+KC,4247.4808,0.0022
39,5288.84734,6e-05,6e-05,2,jwst,5288.84734,6e-05
40,5419.0208,0.0014,0.0011,2,hst,5419.021,0.0012
